CODE,LATITUDE,LONGITUDE,BANCO,BAR,RESTAURANTE,IGREJA,SUPERMERCADO,SAUDE,CRIME_BANCO,COLETIVO,CONDOMINIO_RESIDENCIAL,ESTABELECIMENTO_COMERCIAL,TRANSEUNTE,METRO,PONTO_ONIBUS,PF,PG,PH,FAVELAS,AREAS_VERDES,HOSPEDAGEM
35101692,-23.5814,-46.5785,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,1,5,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0
35287581,-23.5481,-46.5854,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,9,0.0,0.08064516129032258,0.0,0.0,0.0,0.0,0.0,0.0
35101151,-23.5563,-46.5745,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,5,14,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0
35060574,-23.5379,-46.5709,0.1,0.5,0.0,0.0,0.0,0.4,0,0,0,0,24,0.0,0.22580645161290322,0.0,0.0,0.0,0.0,0.0,0.0
35136906,-23.5774,-46.5497,0.1,0.7,0.0,0.0,1.0,0.2,0,0,0,3,9,0.0,0.1693548387096774,0.0,0.0,0.0,0.0,0.0,0.0
35002240,-23.5705,-46.5487,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2,6,0.0,0.3629032258064516,0.0,0.0,0.0,0.0,0.0,0.0
35001880,-23.5929,-46.5456,0.0,0.3,0.0,0.0,0.0,0.2,0,2,0,6,23,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0
35140788,-23.557,-46.5397,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,1,8,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
35002636,-23.5402,-46.5314,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0.0,0.06451612903225806,0.0,0.0,0.0,0.25,0.0,0.0
35037370,-23.501,-46.5727,0.0,0.4,0.0,0.2,0.0,0.0,0,1,0,3,2,0.0,0.18548387096774194,0.0,0.0,0.0,0.0,1.0,0.0
35001036,-23.4923,-46.58600000000001,0.0,0.3,0.0,0.4,0.0,0.0,0,0,0,2,9,0.0,0.12096774193548387,0.0,0.0,0.0,0.0,0.0,0.0
35001296,-23.4857,-46.58,0.1,0.3,0.0,0.6,0.0,0.0,0,0,0,1,14,0.0,0.08064516129032258,0.0,0.0,0.0,0.0,0.0,0.0
35037783,-23.4799,-46.5732,0.0,0.4,0.0,0.4,0.0,0.0,0,0,0,0,10,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0
35054446,-23.4646,-46.5694,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,2,0.0,0.0967741935483871,0.0,0.25,0.09090909090909091,0.25,0.0,0.0
35223165,-23.5177,-46.5576,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,7,0.0,0.20967741935483872,0.0,1.0,0.18181818181818182,0.25,0.0,0.0
35102015,-23.5265,-46.5497,0.2,0.3,0.2,0.0,0.0,0.8,0,2,1,3,50,0.0,0.20967741935483872,0.0,0.0,0.0,0.0,0.0,1.0
35002586,-23.5222,-46.5391,0.0,0.3,0.0,0.2,0.0,0.0,0,0,0,2,18,0.0,0.11290322580645161,0.0,0.0,0.0,0.0,0.0,0.0
35916729,-23.4554,-46.5808,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,3,0.0,0.27419354838709675,0.0,0.5,0.36363636363636365,0.25,0.0,0.0
35041695,-23.5869,-46.5115,0.0,0.4,0.0,0.2,0.0,0.0,0,0,0,0,8,0.0,0.10483870967741936,0.0,0.0,0.0,0.0,0.0,0.0
35002653,-23.5519,-46.5144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,24,0.0,0.20161290322580644,0.0,0.0,0.0,0.25,0.0,0.0
35048641,-23.5628,-46.4871,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0,2,7,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.0
35296016,-23.5403,-46.4939,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,1,6,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0
35157089,-23.5181,-46.5304,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,9,0.0,0.056451612903225805,0.0,0.0,0.0,0.0,0.0,0.0
35911008,-23.5228,-46.4694,0.0,0.0,0.0,0.2,1.0,0.0,0,0,0,1,1,0.0,0.12903225806451613,0.16666666666666666,0.25,0.0,0.0,0.0,0.0
35039248,-23.5576,-46.4623,0.0,0.1,0.0,0.0,0.0,0.0,0,1,0,0,4,0.0,0.03225806451612903,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
35805440,-23.5432,-46.451,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2,5,0.0,0.11290322580645161,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
35102301,-23.5304,-46.4552,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,1,5,0.0,0.1532258064516129,0.0,0.0,0.0,0.0,0.0,0.0
35048689,-23.5385,-46.4409,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,1,2,0.0,0.1532258064516129,0.0,0.0,0.0,0.0,0.0,0.0
35914721,-23.55,-46.4195,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,5,0.0,0.20161290322580644,0.5,0.5,0.36363636363636365,0.25,0.0,0.0
35156553,-23.5274,-46.455,0.0,0.2,0.0,0.2,0.0,0.0,0,0,0,1,7,0.0,0.12096774193548387,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
35900060,-23.5168,-46.4261,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0,1,7,0.0,0.14516129032258066,0.16666666666666666,0.0,0.09090909090909091,0.25,0.0,0.0
35055591,-23.4935,-46.4013,0.0,0.0,0.0,0.2,0.0,0.0,0,2,0,2,11,1.0,0.29838709677419356,0.3333333333333333,0.0,0.09090909090909091,0.25,0.0,0.0
35039123,-23.5095,-46.3982,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,6,0.0,0.08064516129032258,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
35902861,-23.4843,-46.3802,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,3,0.0,0.04032258064516129,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
